data,index,Open,High,Low,Close,Volume,*Close
2022-06-09,1.00 ,147.08 ,147.95 ,142.53 ,142.64 ,69472976.00 ,142.64 
2022-06-08,2.00 ,148.58 ,149.87 ,147.46 ,147.96 ,53950201.00 ,147.96 
2022-06-07,3.00 ,144.35 ,149.00 ,144.10 ,148.71 ,67808150.00 ,148.71 
2022-06-06,4.00 ,147.03 ,148.57 ,144.90 ,146.14 ,71598380.00 ,146.14 
2022-06-03,5.00 ,146.90 ,147.97 ,144.46 ,145.38 ,88570289.00 ,145.38 
2022-06-02,6.00 ,147.83 ,151.27 ,146.86 ,151.21 ,72348055.00 ,151.21 
2022-06-01,7.00 ,149.90 ,151.74 ,147.68 ,148.71 ,74286635.00 ,148.71 
2022-05-31,8.00 ,149.07 ,150.66 ,146.84 ,148.84 ,103718416.00 ,148.84 
2022-05-27,9.00 ,145.39 ,149.68 ,145.26 ,149.64 ,90978503.00 ,149.64 
2022-05-26,10.00 ,137.39 ,144.34 ,137.14 ,143.78 ,90601548.00 ,143.78 
2022-05-25,11.00 ,138.43 ,141.79 ,138.34 ,140.52 ,92482696.00 ,140.52 
2022-05-24,12.00 ,140.81 ,141.97 ,137.33 ,140.36 ,104132746.00 ,140.36 
2022-05-23,13.00 ,137.79 ,143.26 ,137.65 ,143.11 ,117726265.00 ,143.11 
2022-05-20,14.00 ,139.09 ,140.70 ,132.61 ,137.59 ,137426125.00 ,137.59 
2022-05-19,15.00 ,139.88 ,141.66 ,136.60 ,137.35 ,136095640.00 ,137.35 
2022-05-18,16.00 ,146.85 ,147.36 ,139.90 ,140.82 ,109742890.00 ,140.82 
2022-05-17,17.00 ,148.86 ,149.77 ,146.68 ,149.24 ,78336254.00 ,149.24 
2022-05-16,18.00 ,145.55 ,147.52 ,144.18 ,145.54 ,86643781.00 ,145.54 
2022-05-13,19.00 ,144.59 ,148.11 ,143.11 ,147.11 ,113928168.00 ,147.11 
2022-05-12,20.00 ,142.77 ,146.20 ,138.80 ,142.56 ,182602041.00 ,142.56 
2022-05-11,21.00 ,153.50 ,155.45 ,145.81 ,146.50 ,142689825.00 ,146.50 
2022-05-10,22.00 ,155.52 ,156.74 ,152.93 ,154.51 ,115305009.00 ,154.51 
2022-05-09,23.00 ,154.93 ,155.83 ,151.49 ,152.06 ,131536284.00 ,152.06 
2022-05-06,24.00 ,156.01 ,159.44 ,154.18 ,157.28 ,116124647.00 ,157.28 
2022-05-05,25.00 ,163.85 ,164.08 ,154.95 ,156.77 ,130525275.00 ,156.77 
2022-05-04,26.00 ,159.67 ,166.48 ,159.26 ,166.02 ,108256503.00 ,166.02 
2022-05-03,27.00 ,158.15 ,160.71 ,156.32 ,159.48 ,88927512.00 ,159.48 
2022-05-02,28.00 ,156.71 ,158.23 ,153.27 ,157.96 ,123049231.00 ,157.96 
2022-04-29,29.00 ,161.84 ,166.20 ,157.25 ,157.65 ,131680427.00 ,157.65 
2022-04-28,30.00 ,159.25 ,164.52 ,158.93 ,163.64 ,130043492.00 ,163.64 
2022-04-27,31.00 ,155.91 ,159.79 ,155.38 ,156.57 ,88063191.00 ,156.57 
2022-04-26,32.00 ,162.25 ,162.34 ,156.72 ,156.80 ,95589140.00 ,156.80 
2022-04-25,33.00 ,161.12 ,163.17 ,158.46 ,162.88 ,96035382.00 ,162.88 
2022-04-22,34.00 ,166.46 ,167.87 ,161.50 ,161.79 ,84882424.00 ,161.79 
2022-04-21,35.00 ,168.91 ,171.53 ,165.91 ,166.42 ,87226350.00 ,166.42 
