data,index,Open,High,Low,Close,Volume,*Close
2022-06-09,1 ,59590 ,60430 ,59590 ,59900 ,629000 ,59900 
2022-06-08,2 ,58600 ,59150 ,58500 ,58950 ,460700 ,58950 
2022-06-07,3 ,58070 ,58990 ,57840 ,58440 ,482400 ,58440 
2022-06-06,4 ,56740 ,58040 ,56710 ,57830 ,401200 ,57830 
2022-06-03,5 ,57100 ,57660 ,56630 ,57390 ,595700 ,57390 
2022-06-02,6 ,58250 ,58310 ,57320 ,57470 ,532000 ,57470 
2022-06-01,7 ,57280 ,58420 ,57230 ,58420 ,461100 ,58420 
2022-05-31,8 ,58130 ,58590 ,57420 ,57420 ,748700 ,57420 
2022-05-30,9 ,57700 ,58350 ,57030 ,58330 ,941500 ,58330 
2022-05-27,10 ,57890 ,57890 ,56510 ,56700 ,590900 ,56700 
2022-05-26,11 ,56870 ,58040 ,56780 ,57490 ,610700 ,57490 
2022-05-25,12 ,58740 ,58810 ,57200 ,57200 ,949800 ,57200 
2022-05-24,13 ,59840 ,60040 ,59350 ,59740 ,464100 ,59740 
2022-05-23,14 ,59180 ,60250 ,59070 ,59810 ,573100 ,59810 
2022-05-20,15 ,59440 ,59750 ,58890 ,59290 ,523400 ,59290 
2022-05-19,16 ,58270 ,59860 ,58250 ,59160 ,828300 ,59160 
2022-05-18,17 ,57830 ,59460 ,57610 ,59270 ,892200 ,59270 
2022-05-17,18 ,56600 ,57750 ,56250 ,57260 ,449500 ,57260 
2022-05-16,19 ,57840 ,57970 ,56230 ,56340 ,617700 ,56340 
2022-05-13,20 ,57180 ,57730 ,56880 ,57250 ,544100 ,57250 
2022-05-12,21 ,57190 ,58340 ,57120 ,57250 ,733100 ,57250 
2022-05-11,22 ,57140 ,58880 ,55870 ,58190 ,1892500 ,58190 
2022-05-10,23 ,55600 ,56700 ,55320 ,56360 ,1046800 ,56360 
2022-05-09,24 ,56900 ,57200 ,56180 ,56220 ,656700 ,56220 
2022-05-06,25 ,58010 ,58470 ,56820 ,57840 ,1043600 ,57840 
2022-05-02,26 ,59200 ,59760 ,58120 ,58500 ,781700 ,58500 
2022-04-28,27 ,60500 ,60930 ,59660 ,59910 ,804900 ,59910 
2022-04-27,28 ,60700 ,61410 ,59710 ,61310 ,970300 ,61310 
2022-04-26,29 ,63300 ,63360 ,61400 ,61400 ,691500 ,61400 
2022-04-25,30 ,62250 ,63300 ,61490 ,62950 ,591400 ,62950 
2022-04-22,31 ,63380 ,63820 ,62700 ,63520 ,542400 ,63520 
2022-04-21,32 ,63460 ,64250 ,62770 ,64130 ,534400 ,64130 
2022-04-20,33 ,65150 ,65640 ,64010 ,64260 ,507600 ,64260 
2022-04-19,34 ,64100 ,64740 ,63990 ,64470 ,373200 ,64470 
2022-04-18,35 ,64500 ,64530 ,63520 ,63840 ,350300 ,63840 
2022-04-15,36 ,64890 ,65170 ,64460 ,64900 ,375300 ,64900 
2022-04-14,37 ,64850 ,65060 ,64080 ,64960 ,410500 ,64960 
2022-04-13,38 ,64340 ,64850 ,64060 ,64540 ,591900 ,64540 
2022-04-12,39 ,63300 ,64120 ,62670 ,63880 ,568700 ,63880 
2022-04-11,40 ,63400 ,63910 ,63130 ,63720 ,377300 ,63720 
2022-04-08,41 ,63320 ,63830 ,62610 ,63810 ,509000 ,63810 
2022-04-07,42 ,63460 ,63780 ,63070 ,63180 ,463400 ,63180 
2022-04-06,43 ,63120 ,63900 ,63030 ,63460 ,457900 ,63460 
2022-04-05,44 ,64410 ,64410 ,63010 ,63250 ,504000 ,63250 
2022-04-04,45 ,64350 ,64740 ,63470 ,63740 ,603400 ,63740 
2022-04-01,46 ,62730 ,63940 ,62310 ,63660 ,804000 ,63660 
2022-03-31,47 ,62860 ,62860 ,61640 ,61670 ,813000 ,61670 
2022-03-30,48 ,64910 ,65140 ,62310 ,63140 ,1273400 ,63140 
2022-03-29,49 ,66450 ,67080 ,66060 ,66990 ,809000 ,66990 
2022-03-28,50 ,65780 ,66390 ,65330 ,66070 ,638800 ,66070 
2022-03-25,51 ,64750 ,66230 ,64610 ,65780 ,837700 ,65780 
2022-03-24,52 ,63980 ,64770 ,63770 ,64700 ,636400 ,64700 
2022-03-23,53 ,63180 ,64190 ,63140 ,63890 ,797400 ,63890 
2022-03-22,54 ,61790 ,62330 ,61220 ,61870 ,538800 ,61870 
2022-03-18,55 ,60950 ,61660 ,60530 ,60940 ,707500 ,60940 
2022-03-17,56 ,60620 ,61230 ,59960 ,60950 ,747500 ,60950 
2022-03-16,57 ,58330 ,60040 ,58310 ,59820 ,914300 ,59820 
2022-03-15,58 ,57780 ,58010 ,57160 ,57450 ,489000 ,57450 
2022-03-14,59 ,59140 ,59150 ,58210 ,58210 ,364700 ,58210 
2022-03-11,60 ,58630 ,58900 ,58060 ,58650 ,599500 ,58650 
2022-03-10,61 ,58600 ,58690 ,57730 ,58600 ,586900 ,58600 
2022-03-09,62 ,57600 ,57950 ,57360 ,57600 ,732600 ,57600 
2022-03-08,63 ,56500 ,57550 ,55900 ,56410 ,700900 ,56410 
2022-03-07,64 ,58410 ,58590 ,57070 ,57220 ,579900 ,57220 
2022-03-04,65 ,59660 ,60300 ,58380 ,58770 ,883600 ,58770 
2022-03-03,66 ,59000 ,60070 ,58840 ,59330 ,825700 ,59330 
2022-03-02,67 ,58400 ,58690 ,57970 ,58280 ,704300 ,58280 
2022-03-01,68 ,58870 ,59270 ,58100 ,58120 ,584600 ,58120 
2022-02-28,69 ,57380 ,58630 ,57360 ,58020 ,832500 ,58020 
2022-02-25,70 ,57120 ,57750 ,56120 ,56900 ,782500 ,56900 
2022-02-24,71 ,57260 ,58240 ,56930 ,57050 ,669000 ,57050 
2022-02-22,72 ,57700 ,58520 ,57610 ,57910 ,485200 ,57910 
2022-02-21,73 ,58940 ,59040 ,58610 ,58770 ,484100 ,58770 
2022-02-18,74 ,58720 ,59600 ,58360 ,59480 ,633800 ,59480 
2022-02-17,75 ,58740 ,59100 ,57890 ,58760 ,665600 ,58760 
2022-02-16,76 ,58420 ,59290 ,58360 ,58610 ,1027700 ,58610 
2022-02-15,77 ,57820 ,58420 ,57220 ,57420 ,583500 ,57420 
2022-02-14,78 ,57530 ,57900 ,57010 ,57750 ,596900 ,57750 
2022-02-10,79 ,58120 ,58340 ,57670 ,58060 ,715600 ,58060 
2022-02-09,80 ,58270 ,58560 ,57630 ,58090 ,659100 ,58090 
2022-02-08,81 ,58020 ,58280 ,57430 ,57680 ,647500 ,57680 
2022-02-07,82 ,57750 ,58790 ,57560 ,58490 ,684400 ,58490 
2022-02-04,83 ,56600 ,59180 ,56310 ,58180 ,1704900 ,58180 
2022-02-03,84 ,57200 ,57290 ,55940 ,56150 ,996300 ,56150 
2022-02-02,85 ,56420 ,57740 ,56230 ,57740 ,640200 ,57740 
2022-02-01,86 ,57150 ,57560 ,56400 ,56720 ,800300 ,56720 
2022-01-31,87 ,56500 ,57110 ,56160 ,56160 ,728000 ,56160 
2022-01-28,88 ,56140 ,56520 ,55920 ,56100 ,705500 ,56100 
2022-01-27,89 ,56380 ,56520 ,55540 ,56080 ,1038000 ,56080 
2022-01-26,90 ,54590 ,56420 ,54380 ,56300 ,1449400 ,56300 
2022-01-25,91 ,53700 ,54170 ,53380 ,53950 ,738900 ,53950 
2022-01-24,92 ,54150 ,54440 ,53350 ,53900 ,659000 ,53900 
2022-01-21,93 ,54510 ,54750 ,53660 ,54710 ,759900 ,54710 
2022-01-20,94 ,53420 ,55110 ,53340 ,54780 ,897200 ,54780 
2022-01-19,95 ,53900 ,54750 ,53100 ,53290 ,953200 ,53290 
2022-01-18,96 ,53000 ,53690 ,52960 ,53410 ,511300 ,53410 
2022-01-17,97 ,52320 ,53040 ,52120 ,52780 ,329000 ,52780 
2022-01-14,98 ,52460 ,52760 ,51450 ,51920 ,657100 ,51920 
2022-01-13,99 ,53420 ,53450 ,52730 ,52730 ,471000 ,52730 
2022-01-12,100 ,53950 ,54310 ,53590 ,53590 ,553600 ,53590 
2022-01-11,101 ,54170 ,55050 ,53680 ,53830 ,727700 ,53830 
2022-01-07,102 ,52900 ,53930 ,52880 ,53800 ,637000 ,53800 
2022-01-06,103 ,53680 ,54080 ,52810 ,53060 ,560500 ,53060 
2022-01-05,104 ,54080 ,54220 ,53250 ,53340 ,655800 ,53340 
2022-01-04,105 ,54000 ,54520 ,53830 ,54380 ,548400 ,54380 
2021-12-30,106 ,54350 ,54380 ,53160 ,53650 ,702600 ,53650 
2021-12-29,107 ,55130 ,55250 ,54410 ,54760 ,399600 ,54760 
2021-12-28,108 ,55800 ,55880 ,54940 ,55060 ,557800 ,55060 
2021-12-27,109 ,55640 ,55820 ,55270 ,55400 ,339200 ,55400 
2021-12-24,110 ,55510 ,56050 ,55300 ,55430 ,522300 ,55430 
2021-12-23,111 ,54880 ,55600 ,54820 ,55400 ,661100 ,55400 
2021-12-22,112 ,55650 ,55680 ,54330 ,54580 ,844700 ,54580 
2021-12-21,113 ,54350 ,55580 ,54330 ,55500 ,1187600 ,55500 
2021-12-20,114 ,53220 ,54190 ,52920 ,53510 ,850700 ,53510 
2021-12-17,115 ,53800 ,54010 ,52840 ,52930 ,1020600 ,52930 
2021-12-16,116 ,53510 ,54400 ,53460 ,54400 ,722700 ,54400 
2021-12-15,117 ,52960 ,53810 ,52960 ,53400 ,487900 ,53400 
2021-12-14,118 ,53540 ,54060 ,53240 ,53310 ,709500 ,53310 
2021-12-13,119 ,53800 ,53930 ,52960 ,53620 ,715100 ,53620 
