data,index,Open,High,Low,Close,Volume,*Close
2022/6/9,1,10685,10880,10660,10795,2663700,10795
2022/6/8,2,10875,10910,10790,10860,3249800,10860
2022/6/7,3,10860,10910,10790,10820,2102700,10820
2022/6/6,4,10925,11085,10915,11015,2952600,11015
2022/6/3,5,10925,10930,10690,10700,4916700,10700
2022/6/2,6,10615,10680,10415,10450,3826900,10450
2022/6/1,7,10670,10680,10490,10500,3915400,10500
2022/5/31,8,10510,10575,10465,10540,3925600,10540
2022/5/30,9,10730,10905,10655,10870,4477000,10870
2022/5/27,10,10800,10805,10635,10650,3036400,10650
2022/5/26,11,10650,10690,10585,10685,1712500,10685
2022/5/25,12,10780,10850,10710,10850,2990800,10850
2022/5/24,13,10800,10895,10785,10870,2201600,10870
2022/5/23,14,10935,11035,10900,11000,3216900,11000
2022/5/20,15,10900,10955,10750,10815,3988900,10815
2022/5/19,16,10900,10940,10780,10940,3093600,10940
2022/5/18,17,11090,11380,11020,11340,5733900,11340
2022/5/17,18,11325,11360,11165,11240,2797300,11240
2022/5/16,19,11330,11440,11235,11240,3201900,11240
2022/5/13,20,11050,11250,11030,11125,2777500,11125
2022/5/12,21,11085,11135,10975,10975,2890400,10975
2022/5/11,22,11000,11110,10855,11055,4616000,11055
2022/5/10,23,11220,11520,11180,11485,6180100,11485
2022/5/9,24,11620,11750,11490,11565,4989200,11565
2022/5/6,25,11500,11645,11455,11605,2667900,11605
2022/5/2,26,11555,11565,11395,11405,2832900,11405
2022/4/28,27,11270,11285,11155,11155,3419100,11155
2022/4/27,28,11010,11120,10910,10930,2930800,10930
2022/4/26,29,10730,10820,10615,10685,3942100,10685
2022/4/25,30,11000,11025,10870,10905,3100800,10905
2022/4/22,31,11200,11275,10945,10975,3527100,10975
2022/4/21,32,10975,11120,10965,11050,2159500,11050
2022/4/20,33,11155,11395,11070,11135,4104200,11135
2022/4/19,34,11435,11635,11375,11520,4768600,11520
2022/4/18,35,11520,11625,11235,11375,3971800,11375
2022/4/15,36,11375,11560,11305,11550,2695100,11550
2022/4/14,37,11500,11500,11365,11445,2229800,11445
2022/4/13,38,11145,11190,11045,11075,4126600,11075
2022/4/12,39,11300,11370,10980,11360,4192200,11360
2022/4/11,40,11370,11545,11350,11400,2999200,11400
2022/4/8,41,11150,11275,11005,11115,3525200,11115
2022/4/7,42,11120,11185,11060,11110,2148000,11110
2022/4/6,43,11115,11130,10995,11010,2066100,11010
2022/4/5,44,11120,11215,11010,11165,2792800,11165
2022/4/4,45,11095,11130,10880,10915,3147300,10915
2022/4/1,46,10850,10890,10720,10720,2343100,10720
2022/3/31,47,10695,10960,10690,10900,2774900,10900
2022/3/30,48,10780,10805,10605,10605,2971100,10605
2022/3/29,49,10550,10765,10545,10620,2581200,10620
2022/3/28,50,10750,11060,10745,11000,3168000,11000
2022/3/25,51,11330,11485,11310,11385,4349400,11385
2022/3/24,52,11520,11555,11405,11465,3086100,11465
2022/3/23,53,11555,11555,11220,11295,3018900,11295
2022/3/22,54,11170,11275,11085,11230,2283900,11230
2022/3/18,55,11280,11330,11160,11235,2791600,11235
2022/3/17,56,11245,11445,11150,11360,3478300,11360
2022/3/16,57,11390,11540,11385,11440,2450300,11440
2022/3/15,58,11540,11615,11505,11600,2529400,11600
2022/3/14,59,11675,12000,11610,11880,5076800,11880
2022/3/11,60,11960,12000,11820,11950,3087500,11950
2022/3/10,61,12000,12220,11920,11985,4510800,11985
2022/3/9,62,11875,11975,11785,11970,3492100,11970
2022/3/8,63,11925,12050,11900,12050,3844500,12050
2022/3/7,64,12200,12295,12125,12235,4816300,12235
2022/3/4,65,12005,12230,12000,12230,2800200,12230
2022/3/3,66,12300,12355,12220,12350,3159000,12350
2022/3/2,67,12340,12370,12135,12170,3038000,12170
2022/3/1,68,12235,12350,12125,12270,2989900,12270
2022/2/28,69,12330,12350,12165,12315,4406500,12315
2022/2/25,70,12090,12410,12030,12340,4865300,12340
2022/2/24,71,12285,12465,12210,12360,3566600,12360
2022/2/22,72,12660,13000,12585,13000,6882000,13000
2022/2/21,73,13190,13200,12960,12965,3824000,12965
2022/2/18,74,12900,12990,12700,12920,4133600,12920
2022/2/17,75,12635,12660,12285,12440,4999200,12440
2022/2/16,76,12425,12530,12275,12455,3819100,12455
2022/2/15,77,12265,12350,12040,12085,3836100,12085
2022/2/14,78,12210,12290,11910,11970,3185000,11970
2022/2/10,79,11775,11895,11670,11785,3414800,11785
2022/2/9,80,11785,12020,11515,11625,3662700,11625
2022/2/8,81,11650,11790,11600,11695,2352300,11695
2022/2/7,82,11865,11990,11790,11860,2988600,11860
2022/2/4,83,12095,12390,11990,12385,3303000,12385
2022/2/3,84,12530,12585,12285,12330,2942600,12330
2022/2/2,85,12295,12370,12215,12360,2869600,12360
2022/2/1,86,12445,12555,12400,12555,2730400,12555
2022/1/31,87,12850,12950,12720,12890,4140600,12890
2022/1/28,88,12790,12805,12620,12680,2869100,12680
2022/1/27,89,12685,12860,12660,12735,2393200,12735
2022/1/26,90,12890,12960,12770,12820,3176600,12820
2022/1/25,91,12740,12835,12615,12665,2433500,12665
2022/1/24,92,12740,12825,12635,12815,2284700,12815
2022/1/21,93,12875,13065,12845,13065,3893800,13065
