prefectures,total
hokkaido,100.3
aomori,98.1
iwate,99
miyagi,99.3
akita,97.9
yamagata,100.5
fukusima,99.4
ibaraki,97.7
tochigi,98.3
gunma,96.7
saitama,100.6
chiba,101
tokyo,105.2
kanagawa,103.2
niigata,98.2
toyama,98.7
ishikawa,100.2
fukui,99.4
yamanashi,97.5
nagano,97.7
gifu,97.4
shizuoka,98.3
aichi,97.6
mie,98.8
shiga,99.3
kyoto,101.6
osaka,99.8
hyogo,99.6
nara,97.3
wakayama,99.4
tottori,98.2
shimane,99.5
okayama,97.5
hiroshima,98.7
yamaguchi,99.4
tokushima,99.6
kagawa,98.2
ehime,97.9
kochi,99.2
fukuoka,97.4
saga,98.2
nagasaki,99.5
kumamoto,98.7
oita,97.9
miyazaki,95.9
kagoshima,97.2
Okinawa,98
